constructor,status,date,circuit,year,race
Mercedes,Finished,2014-03-16,Australian Grand Prix,2014,1
McLaren,Finished,2014-03-16,Australian Grand Prix,2014,1
McLaren,Finished,2014-03-16,Australian Grand Prix,2014,1
Ferrari,Finished,2014-03-16,Australian Grand Prix,2014,1
Williams,Finished,2014-03-16,Australian Grand Prix,2014,1
Force India,Finished,2014-03-16,Australian Grand Prix,2014,1
Ferrari,Finished,2014-03-16,Australian Grand Prix,2014,1
Toro Rosso,Finished,2014-03-16,Australian Grand Prix,2014,1
Toro Rosso,Finished,2014-03-16,Australian Grand Prix,2014,1
Force India,Finished,2014-03-16,Australian Grand Prix,2014,1
Sauber,Finished,2014-03-16,Australian Grand Prix,2014,1
Sauber,Finished,2014-03-16,Australian Grand Prix,2014,1
Marussia,Finished,2014-03-16,Australian Grand Prix,2014,1
Marussia,Finished,2014-03-16,Australian Grand Prix,2014,1
Lotus F1,Electrical,2014-03-16,Australian Grand Prix,2014,1
Lotus F1,Electrical,2014-03-16,Australian Grand Prix,2014,1
Caterham,Fluid systems,2014-03-16,Australian Grand Prix,2014,1
Red Bull,Engine,2014-03-16,Australian Grand Prix,2014,1
Mercedes,Engine,2014-03-16,Australian Grand Prix,2014,1
Williams,Accident,2014-03-16,Australian Grand Prix,2014,1
Caterham,Accident,2014-03-16,Australian Grand Prix,2014,1
Red Bull,Disqualified,2014-03-16,Australian Grand Prix,2014,1
Mercedes,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Mercedes,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Red Bull,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Ferrari,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Force India,Finished,2014-03-30,Malaysian Grand Prix,2014,2
McLaren,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Williams,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Williams,Finished,2014-03-30,Malaysian Grand Prix,2014,2
McLaren,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Toro Rosso,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Lotus F1,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Ferrari,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Caterham,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Caterham,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Marussia,Finished,2014-03-30,Malaysian Grand Prix,2014,2
Red Bull,Tyre,2014-03-30,Malaysian Grand Prix,2014,2
Sauber,Gearbox,2014-03-30,Malaysian Grand Prix,2014,2
Sauber,Electrical,2014-03-30,Malaysian Grand Prix,2014,2
Toro Rosso,Engine,2014-03-30,Malaysian Grand Prix,2014,2
Marussia,Tyre,2014-03-30,Malaysian Grand Prix,2014,2
Lotus F1,Engine,2014-03-30,Malaysian Grand Prix,2014,2
Mercedes,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Mercedes,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Force India,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Red Bull,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Force India,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Red Bull,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Williams,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Williams,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Ferrari,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Ferrari,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Toro Rosso,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Lotus F1,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Marussia,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Lotus F1,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Caterham,Finished,2014-04-06,Bahrain Grand Prix,2014,3
Marussia,Finished,2014-04-06,Bahrain Grand Prix,2014,3
McLaren,Gearbox,2014-04-06,Bahrain Grand Prix,2014,3
McLaren,Gearbox,2014-04-06,Bahrain Grand Prix,2014,3
Sauber,Accident,2014-04-06,Bahrain Grand Prix,2014,3
Sauber,Accident,2014-04-06,Bahrain Grand Prix,2014,3
Mercedes,Finished,2014-04-20,Chinese Grand Prix,2014,4
Mercedes,Finished,2014-04-20,Chinese Grand Prix,2014,4
Ferrari,Finished,2014-04-20,Chinese Grand Prix,2014,4
Red Bull,Finished,2014-04-20,Chinese Grand Prix,2014,4
Red Bull,Finished,2014-04-20,Chinese Grand Prix,2014,4
Force India,Finished,2014-04-20,Chinese Grand Prix,2014,4
Williams,Finished,2014-04-20,Chinese Grand Prix,2014,4
Ferrari,Finished,2014-04-20,Chinese Grand Prix,2014,4
Force India,Finished,2014-04-20,Chinese Grand Prix,2014,4
Toro Rosso,Finished,2014-04-20,Chinese Grand Prix,2014,4
McLaren,Finished,2014-04-20,Chinese Grand Prix,2014,4
Toro Rosso,Finished,2014-04-20,Chinese Grand Prix,2014,4
McLaren,Finished,2014-04-20,Chinese Grand Prix,2014,4
Lotus F1,Finished,2014-04-20,Chinese Grand Prix,2014,4
Williams,Finished,2014-04-20,Chinese Grand Prix,2014,4
Sauber,Finished,2014-04-20,Chinese Grand Prix,2014,4
Marussia,Finished,2014-04-20,Chinese Grand Prix,2014,4
Caterham,Finished,2014-04-20,Chinese Grand Prix,2014,4
Marussia,Finished,2014-04-20,Chinese Grand Prix,2014,4
Caterham,Finished,2014-04-20,Chinese Grand Prix,2014,4
Lotus F1,Gearbox,2014-04-20,Chinese Grand Prix,2014,4
Sauber,Engine,2014-04-20,Chinese Grand Prix,2014,4
Mercedes,Finished,2014-05-11,Spanish Grand Prix,2014,5
Mercedes,Finished,2014-05-11,Spanish Grand Prix,2014,5
Red Bull,Finished,2014-05-11,Spanish Grand Prix,2014,5
Red Bull,Finished,2014-05-11,Spanish Grand Prix,2014,5
Williams,Finished,2014-05-11,Spanish Grand Prix,2014,5
Ferrari,Finished,2014-05-11,Spanish Grand Prix,2014,5
Ferrari,Finished,2014-05-11,Spanish Grand Prix,2014,5
Lotus F1,Finished,2014-05-11,Spanish Grand Prix,2014,5
Force India,Finished,2014-05-11,Spanish Grand Prix,2014,5
Force India,Finished,2014-05-11,Spanish Grand Prix,2014,5
