status,Turbo,Hybrid
Accident,0.4721602499485016,0.15831615030765533
Chassis,0.0005336461472325027,4.713490488938987e-05
Disqualified,0.0001253906957572326,1.0036932707180313e-07
Driver-related,1.2511956811067648e-05,
Electrical,0.24492961168289185,0.0012799473479390144
Engine,0.3307044804096222,0.5140159130096436
Fluid systems,0.2589367926120758,0.05622288957238197
Gearbox,0.04408207908272743,0.08687961846590042
Overheating,0.04141547903418541,4.6723621380806435e-06
Powertrain,0.0016234639333561063,4.6723621380806435e-06
Suspension,0.7253769040107727,0.001894880086183548
Turbo,0.022462064400315285,1.0036932707180313e-07
Tyre,0.054829761385917664,0.24801845848560333
